age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
25,Privy-small-business,11th,Dating,Machine-op-inspct,In-family,Male,USA,"(12.5K, 25K]"
38,Privy-small-business,HS-grad,Married-civ-spouse,Farming-fishing,In-family,Male,USA,"(12.5K, 25K]"
28,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,In-family,Male,USA,"(75K, 87.5K]"
44,Privy-small-business,College-<1yr,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(75K, 87.5K]"
34,Privy-small-business,10th,Engaged,Other-service,Not-in-family,Male,USA,"[0, 12.5K]"
63,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"above 87.5k"
24,Privy-small-business,College-1yr+,Dating,Other-service,Unmarried,Female,USA,"[0, 12.5K]"
55,Privy-corporate,7th-8th,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
65,Privy-small-business,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(75K, 87.5K]"
36,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,In-family,Male,USA,"(37.5K, 50K]"
26,Privy-small-business,HS-grad,Dating,Adm-clerical,Not-in-family,Female,USA,"(12.5K, 25K]"
48,Privy-small-business,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"above 87.5k"
43,Privy-small-business,Masters,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(62.5K, 75K]"
20,State-gov,College-<1yr,Dating,Other-service,In-family,Male,USA,"(37.5K, 50K]"
43,Privy-corporate,HS-grad,Married-civ-spouse,Adm-clerical,In-family,Female,USA,"(12.5K, 25K]"
37,Privy-corporate,HS-grad,Widowed,Machine-op-inspct,Unmarried,Female,USA,"(12.5K, 25K]"
34,Privy-small-business,Bachelors,Married-civ-spouse,Tech-support,In-family,Male,USA,"(75K, 87.5K]"
34,Privy-corporate,College-1yr+,Engaged,Other-service,In-family,Female,USA,"[0, 12.5K]"
25,Privy-corporate,Bachelors,Middle-aged,Prof-specialty,Not-in-family,Male,Western-South-America,"(25K, 37.5K]"
25,Privy-corporate,Bachelors,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(37.5K, 50K]"
45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(62.5K, 75K]"
22,Privy-corporate,HS-grad,Engaged,Adm-clerical,In-family,Male,USA,"(12.5K, 25K]"
23,Privy-corporate,HS-grad,Separated,Machine-op-inspct,Unmarried,Male,USA,"(25K, 37.5K]"
54,Privy-small-business,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(37.5K, 50K]"
32,Self-emp-not-inc,College-1yr+,Middle-aged,Prof-specialty,Not-in-family,Male,USA,"[0, 12.5K]"
46,State-gov,College-<1yr,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(50K, 62.5K]"
56,Self-emp-not-inc,11th,Widowed,Other-service,Unmarried,Female,USA,"(37.5K, 50K]"
